Order Number,Cust Code,PO,Item,Part ID,Required Qty,Request Date,Estimated Delivery Dates,Pulling Dates,Available Qty,Fulfilled Qty,Remaining Qty,PO Create Date,Lead Time (Days),Status,Notes,Stock Before,Stock After,Stock Used,Flight Qty Used,Flight Details,Warehouse Notes
222,TW1700,3000703204,00070,Q22FA2380049900,12000,2025-09-26,"6000×2025-09-03 (flight), 6000×2025-09-03 (flight)","6000×2025-09-01, 6000×2025-09-01",12000,12000,0,2025-05-27,-23,Awaiting Flight,Fully fulfilled from flights: 12000 (last departure: 2025-08-28),0,0,0,12000,"6000×2025-08-28, 6000×2025-08-28",6000 from flight 2025-08-28 → 2025-09-03; 6000 from flight 2025-08-28 → 2025-09-03
223,TW1700,3000707517,00030,Q22FA2380049900,45000,2025-10-02,"6000×2025-09-10 (flight), 6000×2025-09-17 (flight), 6000×2025-10-03 (flight), 6000×2025-10-03 (flight), 15000×2025-10-03 (flight), 6000×2025-10-13 (flight)","6000×2025-09-08, 6000×2025-09-15, 6000×2025-10-01, 6000×2025-10-01, 15000×2025-10-01, 6000×2025-10-08",45000,45000,0,2025-06-19,11,Awaiting Flight,Fully fulfilled from flights: 45000 (last departure: 2025-10-02),0,0,0,45000,"6000×2025-09-04, 6000×2025-09-11, 6000×2025-09-25, 6000×2025-09-25, 15000×2025-09-25, 6000×2025-10-02",6000 from flight 2025-09-04 → 2025-09-10; 6000 from flight 2025-09-11 → 2025-09-17; 6000 from flight 2025-09-25 → 2025-10-03; 6000 from flight 2025-09-25 → 2025-10-03; 15000 from flight 2025-09-25 → 2025-10-03; 6000 from flight 2025-10-02 → 2025-10-13
224,TW1700,3000708232,00030,Q22FA2380049900,15000,2025-10-15,No Flights Available,N/A,0,0,15000,2025-06-24,0,No Inventory Available,No current stock or future flights available. Required: 15000,0,0,0,0,,No inventory available - no current stock or future flights
225,TW1700,3000713023,00020,Q22FA2380049900,21000,2025-10-18,No Flights Available,N/A,0,0,21000,2025-07-22,0,No Inventory Available,No current stock or future flights available. Required: 21000,0,0,0,0,,No inventory available - no current stock or future flights
226,TW1700,3000714116,00070,Q22FA2380049900,18000,2025-11-05,No Flights Available,N/A,0,0,18000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 18000,0,0,0,0,,No inventory available - no current stock or future flights
227,TW1700,3000714116,00080,Q22FA2380049900,21000,2025-11-10,No Flights Available,N/A,0,0,21000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 21000,0,0,0,0,,No inventory available - no current stock or future flights
228,TW1700,3000714148,00070,Q22FA2380049900,33000,2025-11-14,No Flights Available,N/A,0,0,33000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 33000,0,0,0,0,,No inventory available - no current stock or future flights
229,TW1700,3000714148,00080,Q22FA2380049900,9000,2025-11-19,No Flights Available,N/A,0,0,9000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 9000,0,0,0,0,,No inventory available - no current stock or future flights
230,TW1700,3000714148,00090,Q22FA2380049900,33000,2025-12-05,No Flights Available,N/A,0,0,33000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 33000,0,0,0,0,,No inventory available - no current stock or future flights
231,TW1700,3000696407,00060,X1A000061000600,6000,2025-08-22,6000×2025-08-22 (stock),N/A,6000,6000,0,2025-04-21,0,In Stock,Fully fulfilled from stock: 6000,36000,30000,6000,0,,6000 from stock → 2025-08-22
232,TW1700,3000696407,00070,X1A000061000600,6000,2025-10-08,6000×2025-10-08 (stock),N/A,6000,6000,0,2025-04-21,0,In Stock,Fully fulfilled from stock: 6000,24000,18000,6000,0,,6000 from stock → 2025-10-08
233,TW1700,3000700243,00020,X1A000061000600,6000,2025-11-15,6000×2025-11-14 (stock),N/A,6000,6000,0,2025-05-12,-1,In Stock,Fully fulfilled from stock: 6000,15000,9000,6000,0,,6000 from stock → 2025-11-14
234,TW1700,3000704042,00020,X1A000061000600,6000,2025-11-29,6000×2025-11-28 (stock),N/A,6000,6000,0,2025-06-02,-1,In Stock,Fully fulfilled from stock: 6000,9000,3000,6000,0,,6000 from stock → 2025-11-28
235,TW1700,3000711742,00020,X1A000061000600,6000,2025-12-13,3000×2025-12-12 (stock),N/A,3000,3000,3000,2025-07-14,-1,Partial Stock Only,Partially fulfilled from stock: 3000/6000. Remaining: 3000,3000,0,3000,0,,3000 from stock → 2025-12-12
236,TW1700,3000715977,00010,X1A000141000500,6000,2025-11-01,No Flights Available,N/A,0,0,6000,2025-08-07,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
237,TW1700,3000694989,00030,Q22FA1280004300,6000,2025-09-06,6000×2025-09-05 (stock),N/A,6000,6000,0,2025-04-14,-1,In Stock,Fully fulfilled from stock: 6000,30000,24000,6000,0,,6000 from stock → 2025-09-05
238,TW1700,3000696407,00080,Q22FA1280004300,6000,2025-11-15,6000×2025-11-14 (stock),N/A,6000,6000,0,2025-04-21,-1,In Stock,Fully fulfilled from stock: 6000,24000,18000,6000,0,,6000 from stock → 2025-11-14
239,TW1700,3000696407,00090,Q22FA1280004300,6000,2025-12-06,6000×2025-12-05 (stock),N/A,6000,6000,0,2025-04-21,-1,In Stock,Fully fulfilled from stock: 6000,18000,12000,6000,0,,6000 from stock → 2025-12-05
240,TW1700,3000696407,00100,Q22FA1280004300,6000,2025-12-13,6000×2025-12-12 (stock),N/A,6000,6000,0,2025-04-21,-1,In Stock,Fully fulfilled from stock: 6000,12000,6000,6000,0,,6000 from stock → 2025-12-12
241,TW1700,3000708545,00010,Q22FA2380008900,6000,2025-10-08,"3000×2025-09-10 (flight), 3000×2025-10-03 (flight)","3000×2025-09-08, 3000×2025-10-01",6000,6000,0,2025-06-25,-5,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-25),0,0,0,6000,"3000×2025-09-04, 3000×2025-09-25",3000 from flight 2025-09-04 → 2025-09-10; 3000 from flight 2025-09-25 → 2025-10-03
242,TW1700,3000710994,00010,Q22FA1280053200,3000,2025-09-27,3000×2025-09-19 (flight),3000×2025-09-17,3000,3000,0,2025-07-10,-8,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-16),0,0,0,3000,3000×2025-09-16,3000 from flight 2025-09-16 → 2025-09-19
243,VN4700,3200043598,00010,X1G005421020616,3000,2025-09-15,3000×2025-09-15 (stock),N/A,3000,3000,0,2025-06-10,0,In Stock,Fully fulfilled from stock: 3000,6000,3000,3000,0,,3000 from stock → 2025-09-15
244,VN4700,3200043598,00020,X1G005421020616,6000,2025-10-13,"3000×2025-09-05 (flight), 3000×2025-10-13 (stock)",3000×2025-09-03,6000,6000,0,2025-06-10,0,Partial Stock + Flight,"Fully fulfilled: 3000 from stock, 3000 from flights",3000,0,3000,3000,3000×2025-08-30,3000 from stock → 2025-10-13; 3000 from flight 2025-08-30 → 2025-09-05
245,VN4700,3200048265,00010,X1G005421020616,3000,2025-11-10,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-08-05,-38,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24,3000 from flight 2025-09-24 → 2025-10-03
246,VN4700,3200041970,00010,X1G004211001100,4000,2025-08-25,4000×2025-08-25 (stock),N/A,4000,4000,0,2025-05-20,0,In Stock,Fully fulfilled from stock: 4000,4000,0,4000,0,,4000 from stock → 2025-08-25
247,VN4700,3200041970,00010,X1G004211001100,2000,2025-08-25,2000×2025-09-17 (flight),2000×2025-09-15,2000,2000,0,2025-05-20,23,Awaiting Flight,Fully fulfilled from flights: 2000 (last departure: 2025-09-10),0,0,0,2000,2000×2025-09-10 (+16d),2000 from flight 2025-09-10 (+16d) → 2025-09-17
248,VN4700,3200045573,00010,X1A000141000200,12000,2025-09-15,12000×2025-09-12 (flight),12000×2025-09-10,12000,12000,0,2025-07-01,-3,Awaiting Flight,Fully fulfilled from flights: 12000 (last departure: 2025-09-09),0,0,0,12000,12000×2025-09-09,12000 from flight 2025-09-09 → 2025-09-12
249,VN4700,3200048265,00020,X1A000141000200,6000,2025-12-15,"3000×2025-10-13 (flight), 3000×2025-10-17 (flight)","3000×2025-10-08, 3000×2025-10-15",6000,6000,0,2025-08-05,-59,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-11),0,0,0,6000,"3000×2025-10-07, 3000×2025-10-11",3000 from flight 2025-10-07 → 2025-10-13; 3000 from flight 2025-10-11 → 2025-10-17
250,VN4700,3200045573,00020,X1E000371000400,15000,2025-09-15,"6000×2025-08-22 (flight), 3000×2025-08-22 (flight), 6000×2025-09-15 (stock)","6000×2025-08-20, 3000×2025-08-20",15000,15000,0,2025-07-01,0,Partial Stock + Flight,"Fully fulfilled: 6000 from stock, 9000 from flights",6000,0,6000,9000,"6000×2025-08-19, 3000×2025-08-19",6000 from stock → 2025-09-15; 6000 from flight 2025-08-19 → 2025-08-22; 3000 from flight 2025-08-19 → 2025-08-22
251,VN4700,3200047961,00010,X1E000371000400,6000,2025-11-10,6000×2025-09-26 (flight),6000×2025-09-24,6000,6000,0,2025-07-31,-45,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-09-23),0,0,0,6000,6000×2025-09-23,6000 from flight 2025-09-23 → 2025-09-26
