Order Number,Cust Code,PO,Item,Part ID,Required Qty,Request Date,Estimated Delivery Dates,Pulling Dates,Available Qty,Fulfilled Qty,Remaining Qty,PO Create Date,Lead Time (Days),Status,Notes,Stock Before,Stock After,Stock Used,Flight Qty Used,Flight Details,Warehouse Notes
93,KS4100,4101429510,00090,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
94,KS4100,4101429510,00100,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
95,KS4100,4101429510,00110,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
96,KS4100,4101429510,00120,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
97,KS4100,4101429510,00130,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
98,KS4100,4101429510,00140,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
99,KS4100,4101429510,00150,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-07,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
100,KS4100,4101431930,00030,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-14,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
101,KS4100,4101431930,00040,X1G005441002216,3000,2025-08-12,3000×2025-10-03 (flight),3000×2025-10-01,3000,3000,0,2025-07-14,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-09-24),0,0,0,3000,3000×2025-09-24 (+43d),3000 from flight 2025-09-24 (+43d) → 2025-10-03
102,KS4100,4101431930,00050,X1G005441002216,3000,2025-08-24,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-14,59,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+52d),3000 from flight 2025-10-15 (+52d) → 2025-10-22
103,KS4100,4101431930,00060,X1G005441002216,3000,2025-08-24,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-14,59,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+52d),3000 from flight 2025-10-15 (+52d) → 2025-10-22
104,KS4100,4101431930,00070,X1G005441002216,3000,2025-08-24,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-14,59,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+52d),3000 from flight 2025-10-15 (+52d) → 2025-10-22
105,KS4100,4101431930,00080,X1G005441002216,3000,2025-08-24,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-14,59,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+52d),3000 from flight 2025-10-15 (+52d) → 2025-10-22
106,KS4100,4101431930,00090,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-14,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
107,KS4100,4101434767,00020,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
108,KS4100,4101434767,00030,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
109,KS4100,4101434767,00040,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
110,KS4100,4101434767,00050,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
111,KS4100,4101434767,00060,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
112,KS4100,4101434767,00070,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
113,KS4100,4101434767,00080,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
114,KS4100,4101434767,00090,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
115,KS4100,4101434767,00100,X1G005441002216,3000,2025-08-31,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-07-21,52,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15 (+45d),3000 from flight 2025-10-15 (+45d) → 2025-10-22
116,KS4100,4101439921,00070,X1G005441002216,6000,2025-11-02,"3000×2025-10-22 (flight), 3000×2025-10-22 (flight)","3000×2025-10-20, 3000×2025-10-20",6000,6000,0,2025-08-04,-11,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-15),0,0,0,6000,"3000×2025-10-15, 3000×2025-10-15",3000 from flight 2025-10-15 → 2025-10-22; 3000 from flight 2025-10-15 → 2025-10-22
